,Manufacturer,Model,Trans,Eng Size,Cyl,MPG Comb,MPG City,MPG Hwy,Annual Fuel Cost,GHG Rating,Notes,Year
182,FORD,Mustang HO Convertible,M-6,2.3L,4cyl,21,19,25,"$2,250",4,['T'],2023
183,FORD,Mustang HO Coupe,A-S10,2.3L,4cyl,23,20,27,"$2,050",5,['T'],2023
184,FORD,Mustang HO Coupe,M-6,2.3L,4cyl,22,20,27,"$2,150",5,['T'],2023
185,FORD,Mustang Mach 1,A-S10,5.0L,8cyl,18,15,23,"$2,650",4,[],2023
186,FORD,Mustang Mach 1,M-6,5.0L,8cyl,17,14,22,"$2,800",3,['Tax'],2023
187,LEXUS,LC 500,A-S10,5.0L,8cyl,19,16,25,"$3,200",4,['PR'],2023
188,LEXUS,LC 500h,AV-S10,3.5L,6cyl,29,26,33,"$2,100",6,"['PR', 'HEV', 'SS']",2023
189,LEXUS,RC 300,A-S8,2.0L,4cyl,25,21,31,"$2,450",5,"['PR', 'T']",2023
190,LEXUS,RC 300 AWD,A-S6,3.5L,6cyl,22,19,26,"$2,800",5,['PR'],2023
191,LEXUS,RC 350,A-S8,3.5L,6cyl,23,20,28,"$2,650",5,['PR'],2023
192,LEXUS,RC 350 AWD,A-S6,3.5L,6cyl,22,19,26,"$2,800",5,['PR'],2023
193,LEXUS,RC F,A-S8,5.0L,8cyl,19,16,24,"$3,200",4,['PR'],2023
194,MERCEDES-BENZ,AMG C43 4matic Convertible,A-9,3.0L,6cyl,22,18,28,"$2,800",5,"['PR', 'T', 'SS']",2023
195,MERCEDES-BENZ,AMG C43 4matic Coupe,A-9,3.0L,6cyl,21,18,27,"$2,900",4,"['PR', 'T', 'SS']",2023
196,MERCEDES-BENZ,AMG C63 S Convertible,A-9,4.0L,8cyl,19,16,24,"$3,200",4,"['PR', 'T', 'SS']",2023
197,MERCEDES-BENZ,AMG C63 S Coupe,A-9,4.0L,8cyl,19,16,24,"$3,200",4,"['PR', 'T', 'SS']",2023
198,MERCEDES-BENZ,AMG E53 4matic Plus Convertible,A-9,3.0L,6cyl,23,20,27,"$2,650",5,"['PR', 'MHEV', 'SS']",2023
199,MERCEDES-BENZ,AMG E53 4matic Plus Coupe,A-9,3.0L,6cyl,23,20,28,"$2,650",5,"['PR', 'MHEV', 'SS']",2023
200,MERCEDES-BENZ,C300 4matic Convertible,A-9,2.0L,4cyl,25,21,30,"$2,450",5,"['PR', 'T', 'SS']",2023
201,MERCEDES-BENZ,C300 4matic Coupe,A-9,2.0L,4cyl,25,22,31,"$2,450",5,"['PR', 'T', 'SS']",2023
202,MERCEDES-BENZ,C300 Convertible,A-9,2.0L,4cyl,24,21,29,"$2,550",5,"['PR', 'T', 'SS']",2023
203,MERCEDES-BENZ,C300 Coupe,A-9,2.0L,4cyl,25,22,31,"$2,450",5,"['PR', 'T', 'SS']",2023
204,MERCEDES-BENZ,E450 4matic Convertible,A-9,3.0L,6cyl,24,22,29,"$2,550",5,"['PR', 'T', 'MHEV', 'SS']",2023
205,MERCEDES-BENZ,E450 4matic Coupe,A-9,3.0L,6cyl,24,21,30,"$2,550",5,"['PR', 'T', 'MHEV', 'SS']",2023
206,MERCEDES-BENZ,E450 Convertible,A-9,3.0L,6cyl,25,22,29,"$2,450",5,"['PR', 'T', 'MHEV', 'SS']",2023
207,MERCEDES-BENZ,E450 Coupe,A-9,3.0L,6cyl,25,23,30,"$2,450",5,"['PR', 'T', 'MHEV', 'SS']",2023
208,MINI,Cooper Hardtop 2 door,AM-S7,1.5L,3cyl,32,29,38,"$1,900",6,"['P', 'T', 'SS']",2023
209,MINI,Cooper Hardtop 2 door,M-6,1.5L,3cyl,31,27,37,"$1,950",6,"['P', 'T', 'SS']",2023
210,MINI,Cooper Hardtop 4 door,AM-S7,1.5L,3cyl,32,29,38,"$1,900",6,"['P', 'T', 'SS']",2023
211,MINI,Cooper Hardtop 4 door,M-6,1.5L,3cyl,31,27,37,"$1,950",6,"['P', 'T', 'SS']",2023
